Engine-Match Tuesday, June 21, 2016 8:20:45 PM
 Blitz 2/1 

Pairing 1/1 :    Stockfish_x64_bmi2  -  AsmFishW_bmi2

PGN-File: C:\Users\pc\Downloads\arena_3.5.1\Arena.pgn

No:  B/W 1/2     W:B       1:2           Time        Value Moves Dep 1:2       1-2-Draws
   0 * *     0.0:0.0        0.0:0.0       8:21:06 PM    +0.32     3 21.500 :0 0-0-0
   1 B 2    5.5:4.5        5.5:5.5       9:18:26 PM   -39.72    72 21.944 :22.211  1-1-9
  12 = =    6.0:5.0        6.0:6.0       9:20:18 PM     0.00    26 22.341 :22.698  1-1-10
  13 = =    6.5:5.5        6.5:6.5       9:23:14 PM     0.00    42 24.772 :25.229  1-1-11
  14 = =    7.0:6.0        7.0:7.0       9:25:18 PM     0.00    31 24.543 :24.862  1-1-12
  15 = =    7.5:6.5        7.5:7.5       9:29:32 PM     0.00    61 24.154 :24.674  1-1-13
  16 = =    7.0:7.0        8.0:8.0       9:31:45 PM     0.00    29 24.815 :25.240  1-1-14
  17 = =    7.5:7.5        8.5:8.5       9:35:12 PM     0.00    53 23.733 :24.448  1-1-15
  18 W 2    8.5:7.5        8.5:9.5       9:51:29 PM   +14.50   113 21.763 :22.733  1-2-15
  19 = =    9.0:8.0        9.0:10.0      9:56:27 PM     0.00    72 21.868 :22.430  1-2-16
  20 = =    9.5:8.5        9.5:10.5      9:58:01 PM     0.00    22 21.676 :22.289  1-2-17
  21 = =    9.0:9.0        10.0:11.0     10:03:38 PM     0.00    40 22.895 :23.658  1-2-18
  23 = =    10.5:9.5       11.5:11.5     10:16:37 PM     0.00   139 21.769 :22.377  2-2-19
  24 W 2    11.5:9.5       11.5:12.5     10:20:45 PM   +13.37    53 21.510 :22.214  2-3-19
  25 = =    12.0:10.0      12.0:13.0     10:24:35 PM     0.00    54 21.802 :22.687  2-3-20
  26 = =    12.5:10.5      12.5:13.5     10:28:44 PM     0.00    59 21.755 :22.682  2-3-21
  27 = =    13.0:11.0      13.0:14.0     10:32:23 PM     0.00    51 21.593 :22.500  2-3-22
  28 = =    13.5:11.5      13.5:14.5     10:36:34 PM     0.00    57 21.613 :22.496  2-3-23
  29 = =    14.0:12.0      14.0:15.0     10:41:42 PM     0.00    75 21.651 :22.474  2-3-24
  30 = =    14.5:12.5      14.5:15.5     10:46:49 PM     0.00    79 21.569 :22.326  2-3-25
  31 = =    13.0:13.0      15.0:16.0     10:53:18 PM     0.00    54 23.357 :23.517  2-3-26
  33 = =    14.0:14.0      16.0:17.0     11:01:07 PM     0.00    35 22.872 :23.721  2-3-28
